OBJECTID_1,OBJECTID,OUTFALL,ACREAGE,Y2STATUS,Y5STATUS,Y2COST,Y5COST,ADDFORY5,ADDRESSES,Y2COSTPADD,NUM_STFLD,NUM_HSEFLD,GROUP_,Y2CATEGORY,FACETS,C_DISTRICT,WSHED,PCT_SNGLFA,created_us,created_da,last_edite,last_edi_1,Shape_Length,Shape_Area
1,1,G0010,96.37016746,Adequate,Inadequate,0,777374,777374,315,0,11, ,3,A,5771,E,SAN JACINTO RIVER,0, , , , ,12035.938096338,4197884.50195267
2,2,G0011,14.39541833,Adequate,Adequate,0,0,0,6,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,5265.78720891685,627064.488043254
3,3,G0012,20.18489055,Adequate,Adequate,0,0,0,81,0,0,0,4,A,5771,E,SAN JACINTO RIVER,0, , , , ,4539.72701297214,879253.764062513
4,4,G0013,39.59620127,Adequate,Adequate,0,0,0,129,0,1, ,4,A,5771,E,SAN JACINTO RIVER,0, , , , ,6027.0565821087,1724810.60923076
5,6,G0015,1.67843473,Adequate,Adequate,0,0,0,6,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,1140.65692148043,73112.590082332
6,7,G0016,1.29175066,Adequate,Adequate,0,0,0,5,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,1011.91022855367,56268.6764106019
7,8,G0017,27.74341328,Adequate,Adequate,0,0,0,70,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,4927.80659904727,1208503.01879374
8,9,G0018,55.21363602,Adequate,Adequate,0,0,0,167,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,12388.0751684221,2405106.11019745
9,10,G0019,61.27428117,Adequate,Adequate,0,0,0,233,0,5, ,3,A,5871,E,SAN JACINTO RIVER,0, , , , ,8914.57051601015,2669107.80457384
10,11,G0020,33.04521251,Adequate,Adequate,0,0,0,136,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,6351.3347458915,1439449.4467358
11,12,G0021,13.31101425,Adequate,Adequate,0,0,0,6,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,5106.49489966156,579827.796216162
12,14,G0024,42.97665034,Adequate,Adequate,0,0,0,162,0,1, ,3,A,5871,E,SAN JACINTO RIVER,0, , , , ,7165.86074708479,1872062.93563366
13,15,G0025,4.01061075,Adequate,Adequate,0,0,0,12,0,0,0,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,1986.0300958509,174702.177024343
14,16,G0026,17.19645734,Adequate,Adequate,0,0,0,87,0,4, ,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,4019.92302116676,749077.724444877
15,17,G0027,24.55691157,Adequate,Adequate,0,0,0,102,0,2, ,4,A,5871,E,SAN JACINTO RIVER,0, , , , ,6366.6644129308,1069699.07649739
16,22,W0917,7.08582076,Adequate, ,0,0,0,14,0,14,2,3,A,4857,G,BUFFALO BAYOU,0, , , , ,3761.11104211332,308658.345200572
17,23,C0695,3.26623524,Adequate, ,0,0,0,0,0,0,0,4,A,5050,D,SIMS BAYOU,0, , , , ,1529.09223474435,142277.187798193
18,26,D1427,21.83364081,Adequate, ,0,0,0,43,0,2, ,3,A,5152,C,BRAYS BAYOU,0, , , , ,7470.00736957788,951073.351220539
19,28,D0507,98.56591129,Adequate,Adequate,0,0,0,307,0,4,1,1,A,5052,C,BRAYS BAYOU,0, , , , ,10265.6972371636,4293531.32954082
20,29,D1419,68.14304907,Adequate, ,0,0,0,316,0,0,0,4,A,5052,C,BRAYS BAYOU,0, , , , ,11216.2420197358,2968311.1323829
21,91,G0001,10.48513061,Adequate,Adequate,0,0,0,26,0,3, ,3,A,5770,E,SAN JACINTO RIVER,0, , , , ,3876.81040079111,456732.250505658
22,94,C0809,3.2736809,Adequate, ,0,0,0,0,0,0,0,4,A,5752,E,SIMS BAYOU,0, , , , ,1779.93574618357,142601.576598522
23,95,C0810,2.12809959,Adequate, ,0,0,0,0,0,0,0,4,A,5752,E,SIMS BAYOU,0, , , , ,1859.99956083298,92699.9933733527
24,97,C0592,13.05449962,Adequate, ,0,0,0,61,0,0,0,4,A,5250,D,SIMS BAYOU,0, , , , ,3506.81801565964,568653.997097871
25,99,E1005,0.99173602,Adequate, ,0,0,0,0,0,0,0,4,A,4960,A,WHITE OAK BAYOU,0, , , , ,1139.99968850613,43200.0535770604
26,100,E1009,103.46591643,Adequate, ,0,0,0,415,0,8, ,3,A,4960,A,WHITE OAK BAYOU,0, , , , ,15060.0007197261,4506975.14627304
27,102,W0912,13.11403075,Adequate,Adequate,0,0,0,14,0,1, ,3,A,4757,G,BUFFALO BAYOU,0, , , , ,3977.27343870084,571247.135837685
28,104,D9078,12.03222045,Adequate, ,0,0,0,37,0,18,10,1,A,5153,C,BRAYS BAYOU,0, , , , ,2904.74920081978,524123.462713847
29,108,W0920,1.66336816,Adequate, ,0,0,0,5,0,2, ,3,A,4857,G,BUFFALO BAYOU,0, , , , ,1779.52544576753,72456.2829864684
30,115,D1416,27.06611281,Adequate, ,0,0,0,97,0,0,0,4,A,4757,G,BRAYS BAYOU,0, , , , ,6209.99676650763,1178999.76233924
31,116,D1414,1.29648891,Adequate, ,0,0,0,3,0,0,0,4,A,4756,G,BRAYS BAYOU,0, , , , ,1379.99986460805,56475.0349278688
32,117,W0907,18.12500441,Adequate, ,0,0,0,48,0,0,0,4,A,4756,G,BRAYS BAYOU,0, , , , ,6089.99766248465,789525.247404632
33,118,W0906,14.1094026,Adequate, ,0,0,0,16,0,0,0,4,A,4756,G,BRAYS BAYOU,0, , , , ,5190.73995858635,614605.530407119
34,119,D1410,2.13842803,Adequate, ,0,0,0,4,0,0,0,4,A,4756,G,BRAYS BAYOU,0, , , , ,1619.99938470125,93149.942359965
35,120,D1409,5.34090947,Adequate, ,0,0,0,16,0,0,0,4,A,4756,G,BRAYS BAYOU,0, , , , ,2940.00133788586,232650.014286341
36,121,D1400,2.70661178,Adequate, ,0,0,0,8,0,0,0,4,A,4756,G,BRAYS BAYOU,0, , , , ,1770.00105315447,117899.991001836
37,122,D1408,5.72830362,Adequate, ,0,0,0,12,0,0,0,4,A,4756,G,BRAYS BAYOU,0, , , , ,2699.996568501,249524.951699394
38,124,A0047,9.73140919,Adequate, ,0,0,0,46,0,0,0,4,A,5250,D,CLEAR CREEK,0, , , , ,3630.00192630291,423900.164629515
39,125,A0046,10.21694063,Adequate, ,0,0,0,38,0,0,0,4,A,5249,D,CLEAR CREEK,0, , , , ,3659.99202394485,445049.829048906
40,127,A0044,8.82231591,Adequate, ,0,0,0,37,0,0,0,4,A,5250,D,CLEAR CREEK,0, , , , ,3329.99793311954,384300.076967451
41,128,A0053,3.8533052,Adequate, ,0,0,0,13,0,0,0,4,A,5249,D,CLEAR CREEK,0, , , , ,2399.99913698435,167849.953596104
42,129,C0833,2.59297889,Adequate, ,0,0,0,12,0,0,0,4,A,5049,D,SIMS BAYOU,0, , , , ,1830.00224548578,112950.143671638
43,131,H0161,2.62396725,Adequate, ,0,0,0,7,0,0,0,4,A,5757,E,HUNTING BAYOU,0, , , , ,2069.99914082885,114299.980792266
44,132,H0162,4.05833772,Adequate, ,0,0,0,12,0,2, ,3,A,5757,E,HUNTING BAYOU,0, , , , ,2346.97440547391,176781.191557853
45,133,H0163,15.5216918,Adequate, ,0,0,0,65,0,15, ,3,A,5757,E,HUNTING BAYOU,0, , , , ,6570.00129565597,676124.992344199
46,134,H0164,7.5154937,Adequate, ,0,0,0,32,0,0,0,3,A,5757,E,HUNTING BAYOU,0, , , , ,3629.99995782971,327374.861757095
47,135,H0160,10.82127975,Adequate, ,0,0,0,53,0,15, ,3,A,5757,E,HUNTING BAYOU,0, , , , ,4919.9980340004,471374.910755322
48,136,W0908,0.56301818,Adequate, ,0,0,0,0,0,0,0,4,A,5056,C,BUFFALO BAYOU,0, , , , ,780.001064687967,24525.0495372894
49,141,C0804,4.82724462,Adequate, ,0,0,0,32,0,0,0,4,A,5653,E,SIMS BAYOU,0, , , , ,3180.8373073932,210274.765422382
50,146,A0039,7.66012393,Adequate, ,0,0,0,35,0,7,7,1,A,5750,E,CLEAR CREEK,0, , , , ,3899.9967931509,333674.95466848
51,147,A0038,3.22314067,Adequate,Adequate,0,0,0,13,0,0,0,4,A,5750,E,CLEAR CREEK,0, , , , ,2339.9992570281,140400.028947891
52,151,A0095,6.83884452,Adequate,Adequate,0,0,0,1,0,4, ,3,A,5750,E,CLEAR CREEK,0, , , , ,3239.99811315536,297900.053479756
53,152,A0070,11.25775819,Adequate,Inadequate,0,154096.4253,154096.4253,0,0,0,0,3,A,5750,E,CLEAR CREEK,0, , , , ,4938.07870348849,490388.000754164
54,156,A0066,9.24070248,Adequate, ,0,0,0,37,0,6, ,3,A,5750,E,CLEAR CREEK,0, , , , ,3899.9987617135,402525.048362487
55,157,A0065,3.18698292,Adequate,Adequate,0,0,0,15,0,2,8,1,A,5750,E,CLEAR CREEK,0, , , , ,2370.00050935149,138824.936825154
56,158,A0064,2.86673612,Adequate,Adequate,0,0,0,14,0,12,1,1,A,5750,E,CLEAR CREEK,0, , , , ,2280.00068929791,124875.017230051
57,159,A0054,3.30061973,Adequate, ,0,0,0,15,0,4,3,0,A,5750,E,CLEAR CREEK,0, , , , ,2070.00176551938,143774.98592197
58,162,C0304,59.16178253,Adequate, ,0,0,0,65,0,7, ,3,A,5652,E,SIMS BAYOU,0, , , , ,15091.3138109252,2577087.27024305
59,163,A0060,38.09917621,Adequate,Inadequate,0,148718.9583,148718.9583,73,0,0,2,1,A,5850,E,CLEAR CREEK,0, , , , ,8759.99888417125,1659600.15784532
60,166,A0057,11.88533072,Adequate,Adequate,0,0,0,24,0,4,2,3,A,5850,E,CLEAR CREEK,0, , , , ,5189.99552538991,517724.902521657
61,167,A0056,10.75929756,Adequate, ,0,0,0,49,0,16,8,3,A,5850,E,CLEAR CREEK,0, , , , ,4409.99249234796,468675.015059254
62,170,A0037,41.8388437,Adequate, ,0,0,0,127,0,33,11,1,A,5850,E,CLEAR CREEK,0, , , , ,13440.0052723289,1822499.90979178
63,171,A0016,3.37809759,Adequate,Adequate,0,0,0,0,0,0,0,4,A,5850,E,CLEAR CREEK,0, , , , ,2219.99687236547,147149.893685791
64,172,A0015,36.77686264,Adequate, ,0,0,0,142,0,3,1,3,A,5750,E,CLEAR CREEK,0, , , , ,11070.0047629178,1602000.08805142
65,174,A0013,18.15598678,Adequate, ,0,0,0,67,0,0,0,3,A,5851,E,CLEAR CREEK,0, , , , ,5790.00088724494,790874.813861846
66,176,A0011,8.96693774,Adequate, ,0,0,0,34,0,0,0,3,A,5850,E,CLEAR CREEK,0, , , , ,4560.00794026256,390599.849998384
67,177,A0001,8.15082607,Adequate, ,0,0,0,35,0,8, ,3,A,5850,E,CLEAR CREEK,0, , , , ,3960.00323483348,355050.021725705
