OBJECTID_1,OBJECTID,OUTFALL,ACREAGE,Y2STATUS,Y5STATUS,Y2COST,Y5COST,ADDFORY5,ADDRESSES,Y2COSTPADD,NUM_STFLD,NUM_HSEFLD,GROUP_,Y2CATEGORY,FACETS,C_DISTRICT,WSHED,PCT_SNGLFA,created_us,created_da,last_edite,last_edi_1,Shape_Length,Shape_Area
1,5,G0014,73.30053655,Inadequate,Inadequate,18196,18196,0,257,71,15, ,1,1,5771,E,SAN JACINTO RIVER,0, , , , ,9507.02966368761,3192971.30170755
2,13,G0023,44.10352113,Inadequate,Inadequate,269135,269135,0,146,1843,0,0,4,3,5871,E,SAN JACINTO RIVER,0, , , , ,8614.23534280682,1921149.345834
3,30,C0603,69.05223956,Inadequate, ,815700,1162200,346500,347,2350.7204611,0,0,4,3,5150,D,SIMS BAYOU,0, , , , ,11379.2593217344,3007915.68590583
4,92,A0021,43.91696891,Inadequate,Inadequate,590380.464,624493.984,34113.52,10,59038.0464,1, ,3,1,5851,E,CLEAR CREEK,0, , , , ,11418.5254401669,1913023.14335174
5,93,A0112,25.31339989,Inadequate, ,202690.2006,0,0,12,16890.8501,0,0,4,3,5851,E,CLEAR CREEK,0, , , , ,8451.50447134232,1102651.76734588
6,96,D1406,101.11053423,Inadequate, ,723366.183,0,0,248,2916.7991,8, ,3,1,4755,G,BRAYS BAYOU,0, , , , ,14849.9991714358,4404374.86769433
7,103,D1422,91.84730638,Inadequate, ,965649.0258,0,0,309,3125.0778,83, ,3,1,5054,F,BRAYS BAYOU,0, , , , ,13814.0047058373,4000868.56623086
8,105,C0625,62.76158835,Inadequate, ,1083400,1428400,345000,162,6687.65432099,0,0,4,3,5150,D,SIMS BAYOU,0, , , , ,9220.55450105097,2733894.71545121
9,123,A0048,44.63085202,Inadequate,Inadequate,1160735.4831,1476181.8977,315446.4146,120,9672.7957,0,0,4,3,5250,D,CLEAR CREEK,0, , , , ,10657.6540471768,1944119.84819472
10,138,C0820,25.53381341,Inadequate, ,179301.4209,0,31800,88,2037.5161,12,1,3,1,5553,I,SIMS BAYOU,0, , , , ,6309.05014531809,1112252.98743472
11,139,C0043,382.94779496,Inadequate, ,3986100,4100300,114200,1116,3571.77419355,49,8,1,1,5553,I,SIMS BAYOU,0, , , , ,28783.9178348168,16681206.02556
12,140,C0020,22.76792494,Inadequate, ,356500,429800,73300,53,6726.41509434,0,46,2,1,5654,I,SIMS BAYOU,0, , , , ,5496.23214015977,991770.940772703
13,143,A0042,33.0630187,Inadequate,Inadequate,306568.1619,399175.9381,92607.7762,129,2376.4974,20, ,3,1,5750,E,CLEAR CREEK,0, , , , ,8160.00008416176,1440225.10523253
14,144,A0041,19.23037252,Inadequate,Inadequate,192745.6918,222084.1823,29338.4905,71,2714.7281,36,33,1,1,5750,E,CLEAR CREEK,0, , , , ,6329.99521401525,837675.079409937
15,145,A0040,14.10123967,Inadequate, ,200138.6378,0,0,68,2943.2153,0,0,4,3,5750,E,CLEAR CREEK,0, , , , ,5160.00083485246,614249.974099667
16,150,A0045,13.60020589,Inadequate,Inadequate,67294.0485,110434.4688,43140.4203,55,1223.5282,35,35,1,1,5750,E,CLEAR CREEK,0, , , , ,5189.99880638719,592424.953130948
17,153,A0055,7.66012362,Inadequate, ,55315.1877,0,0,36,1536.533,15,22,1,1,5750,E,CLEAR CREEK,0, , , , ,3810.000254035,333674.984195544
18,154,A0068,17.70089409,Inadequate,Inadequate,72820.4138,161155.0618,88334.648,51,1427.8513,2,1,3,1,5750,E,CLEAR CREEK,0, , , , ,5854.63108024495,771050.89472321
19,155,A0067,24.50929494,Inadequate,Inadequate,86403.7273,229565.0029,143161.2756,87,993.1463,21, ,3,1,5750,E,CLEAR CREEK,0, , , , ,7140.00278034806,1067624.91748362
20,160,A0062,23.13016467,Inadequate, ,297579.6035,0,0,94,3165.7405,26,36,1,1,5750,E,CLEAR CREEK,0, , , , ,7920.0012203753,1007549.99046516
21,161,A0071,43.20764177,Inadequate,Inadequate,453981.199,470746.2153,16765.0163,15,30265.4133,0,0,4,3,5850,E,CLEAR CREEK,0, , , , ,10319.9964203238,1882124.72542661
22,164,A0059,71.33522839,Inadequate, ,1045782.6783,0,0,249,4199.9304,46,15,1,1,5850,E,CLEAR CREEK,0, , , , ,18495.4457991774,3107362.53115714
23,165,A0058,38.74483492,Inadequate, ,468469.5113,0,0,126,3718.012,14,3,3,1,5850,E,CLEAR CREEK,0, , , , ,13319.9982942045,1687725.03550413
24,168,A0034,103.65702631,Inadequate,Inadequate,1643586.8744,1837254.2301,193667.3557,416,3950.93,72,34,1,1,5850,E,CLEAR CREEK,0, , , , ,21600.0145426989,4515300.23600801
25,169,A0063,15.81095155,Inadequate, ,116381.4414,0,0,60,1939.6907,13,7,1,1,5850,E,CLEAR CREEK,0, , , , ,5220.00399568677,688725.06989491
26,173,A0014,21.97830554,Inadequate, ,203024.9678,0,0,88,2307.1019,16,3,1,1,5750,E,CLEAR CREEK,0, , , , ,5939.99993103743,957374.905728195
27,179,P0149,67.64812198,Inadequate, ,632200,1210500,578300,1,632200,0,0,4,3,5265,B,GREENS BAYOU,0, , , , ,10346.6851612206,2946752.2988668
