OBJECTID_1,OUTFALL,ACREAGE,Y2STATUS,GROUP_,Y2CATEGORY,C_DISTRICT,WSHED,Shape_Length,Shape_Area
5,G0014,73.300536550000004,Inadequate,1,1,E,SAN JACINTO RIVER,,
13,G0023,44.103521129999997,Inadequate,4,3,E,SAN JACINTO RIVER,,
30,C0603,69.052239560000004,Inadequate,4,3,D,SIMS BAYOU,,
92,A0021,43.916968910000001,Inadequate,3,1,E,CLEAR CREEK,,
93,A0112,25.313399889999999,Inadequate,4,3,E,CLEAR CREEK,,
96,D1406,101.110534229999999,Inadequate,3,1,G,BRAYS BAYOU,-13822893605718323552876043934614474870174025491633770617674661888.000000000000000,
103,D1422,91.847306380000006,Inadequate,3,1,F,BRAYS BAYOU,,
105,C0625,62.761588349999997,Inadequate,4,3,D,SIMS BAYOU,,
123,A0048,44.630852019999999,Inadequate,4,3,D,CLEAR CREEK,,
138,C0820,25.533813410000000,Inadequate,3,1,I,SIMS BAYOU,,
139,C0043,382.947794960000010,Inadequate,1,1,I,SIMS BAYOU,,
140,C0020,22.767924940000000,Inadequate,2,1,I,SIMS BAYOU,,
143,A0042,33.063018700000001,Inadequate,3,1,E,CLEAR CREEK,-1595695920731125052909942048925759576559022982536185356948459237738979459504469058893856453825229692392918712717771304089530328745601071579136.000000000000000,
144,A0041,19.230372520000000,Inadequate,1,1,E,CLEAR CREEK,1089999246822531641690779889843055791811321808922865599936612735170901835112090785310033575936.000000000000000,
145,A0040,14.101239670000000,Inadequate,4,3,E,CLEAR CREEK,0.000000000000000,
150,A0045,13.600205890000000,Inadequate,1,1,E,CLEAR CREEK,-0.000000000000000,
153,A0055,7.660123620000000,Inadequate,1,1,E,CLEAR CREEK,-8250334739985742099430927897297777411762830754877318572922345855148047943983054802286899617105333665732711410656846040836299681474193913655598543700652903815112281782325608448.000000000000000,
154,A0068,17.700894089999998,Inadequate,3,1,E,CLEAR CREEK,,
155,A0067,24.509294940000000,Inadequate,3,1,E,CLEAR CREEK,-1927285467598828393904873922093994915091392181492264640831119442277071003246808573533796267399001249470545265384683040092991398362370264256832974958834698673140531200.000000000000000,
160,A0062,23.130164669999999,Inadequate,1,1,E,CLEAR CREEK,-617812804768949600256.000000000000000,
161,A0071,43.207641770000002,Inadequate,4,3,E,CLEAR CREEK,-2822165643612963331615041642502322601002970869776536756845874092267212272527704472175772471436451469457166907505932441016322018250138462702794509990307118404671807336544864231914168689819102555446536358101979758592.000000000000000,
164,A0059,71.335228389999997,Inadequate,1,1,E,CLEAR CREEK,,
165,A0058,38.744834920000002,Inadequate,3,1,E,CLEAR CREEK,12137656110337448661631776682560133193794173839602177904044647108374805810953998598962569172488766216920861377975809772092061942879805939777014657410651191535603671325853920264148719611615514382211049209484491048001436909568.000000000000000,
168,A0034,103.657026310000006,Inadequate,1,1,E,CLEAR CREEK,71907565757053093125233781120315052784541837215400479093823475547765149203528713473636721296932864.000000000000000,
169,A0063,15.810951550000000,Inadequate,1,1,E,CLEAR CREEK,0.000000000000000,
173,A0014,21.978305540000001,Inadequate,1,1,E,CLEAR CREEK,0.000000000000000,
179,P0149,67.648121979999999,Inadequate,4,3,B,GREENS BAYOU,,
180,P0171,14.700575980000000,Inadequate,0,5,B,GREENS BAYOU,,
183,P0104,215.277522699999992,Inadequate,4,3,B,GREENS BAYOU,,
188,P0148,49.258088610000001,Inadequate,4,3,B,GREENS BAYOU,,
196,P0147,49.277069789999999,Inadequate,4,3,B,GREENS BAYOU,,
198,E0231,67.983407819999996,Inadequate,4,3,H,WHITE OAK BAYOU,,
208,W0336,8.887231870000001,Inadequate,4,3,A,BUFFALO BAYOU,,
209,W0335,5.825211470000000,Inadequate,4,3,A,BUFFALO BAYOU,,
211,W0333,7.821475760000000,Inadequate,4,3,A,BUFFALO BAYOU,,
212,W0332,6.811092190000000,Inadequate,4,3,A,BUFFALO BAYOU,,
214,W0330,7.747983440000000,Inadequate,4,3,A,BUFFALO BAYOU,,
240,E0380,320.865808920000006,Inadequate,1,1,H,WHITE OAK BAYOU,,
244,P0082,89.935240710000002,Inadequate,3,1,B,GREENS BAYOU,,
248,W0287,9.662538169999999,Inadequate,4,3,G,BUFFALO BAYOU,,
250,W0247,4.108344900000000,Inadequate,4,3,G,BUFFALO BAYOU,,
253,W0172,35.514696669999999,Inadequate,4,3,A,BUFFALO BAYOU,,
254,W0174,88.490105409999998,Inadequate,2,1,G,BUFFALO BAYOU,,
258,D5038,4.914381260000000,Inadequate,3,1,G,BRAYS BAYOU,,
260,H0103,262.207993199999976,Inadequate,4,3,B,HUNTING BAYOU,0.000000000000000,
261,E0234,71.462729740000000,Inadequate,4,3,H,WHITE OAK BAYOU,,
270,W0133,89.241044160000001,Inadequate,4,3,G,BUFFALO BAYOU,,
272,D0925,16.589446290000001,Inadequate,3,1,G,BRAYS BAYOU,,
275,E0068,47.675499440000003,Inadequate,3,1,A,WHITE OAK BAYOU,-18585092.046355120837688,
304,C0259,31.430039520000001,Inadequate,1,1,E,SIMS BAYOU,,
305,D0249,29.111238600000000,Inadequate,3,1,C,BRAYS BAYOU,,
307,D0387,63.144998260000001,Inadequate,1,1,C,BRAYS BAYOU,,
308,C0276,4.467283890000000,Inadequate,3,1,E,SIMS BAYOU,,
312,D0415,12.241266430000000,Inadequate,1,1,C,BRAYS BAYOU,,
313,D0932,27.663480920000001,Inadequate,4,3,C,BRAYS BAYOU,,
319,E0532,23.154223280000000,Inadequate,4,3,A,WHITE OAK BAYOU,,
320,E0416,9.536132810000000,Inadequate,4,3,H,WHITE OAK BAYOU,,
321,E0539,184.969697989999986,Inadequate,1,1,A,WHITE OAK BAYOU,,
324,E0409,29.745177779999999,Inadequate,3,1,A,WHITE OAK BAYOU,,
326,E0190,57.621072970000000,Inadequate,1,1,A,WHITE OAK BAYOU,,
334,E0370,23.191687349999999,Inadequate,1,1,H,WHITE OAK BAYOU,,
337,C0213,84.091943779999994,Inadequate,3,1,I,SIMS BAYOU,,
344,D0149,30.360878000000000,Inadequate,3,1,C,BRAYS BAYOU,,
347,E0189,43.484334029999999,Inadequate,3,1,A,WHITE OAK BAYOU,,
350,P0037,12.737104950000001,Inadequate,3,1,B,GREENS BAYOU,,
361,E0782,18.039495720000001,Inadequate,3,1,A,WHITE OAK BAYOU,,
371,E0811,14.297300710000000,Inadequate,3,1,A,BUFFALO BAYOU,,
374,E0717,16.495151419999999,Inadequate,3,1,A,WHITE OAK BAYOU,,
376,E0718,13.657078630000001,Inadequate,4,3,A,WHITE OAK BAYOU,,
378,H0112,23.790187270000001,Inadequate,2,A,B,HUNTING BAYOU,,
395,W0477,68.080282639999993,Inadequate,4,3,H,BUFFALO BAYOU,,
398,E0716,343.474925380000002,Inadequate,2,1,H,WHITE OAK BAYOU,,
411,B0011,76.482438770000002,Inadequate,4,3,E,ARMAND BAYOU,0.000000000000000,
417,B0012,62.117770319999998,Inadequate,3,1,E,ARMAND BAYOU,-59338141677224176188908757625281031857247461169806785217577668076831244288.000000000000000,
432,A0033,54.963841459999998,Inadequate,3,1,E,CLEAR CREEK,0.000000000000000,
438,A0018,8.486570800000001,Inadequate,3,1,E,CLEAR CREEK,-0.000000000000000,
441,A0024,17.515501170000000,Inadequate,3,1,E,CLEAR CREEK,-0.000000000000000,
442,A0023,18.481404030000000,Inadequate,1,1,E,CLEAR CREEK,0.000000000000000,
444,A0008,48.951449279999999,Inadequate,1,1,E,CLEAR CREEK,-16677615157800560176663177990281905299723672304020407787584612084931776529567339524390912.000000000000000,
445,A0096,73.961775549999999,Inadequate,1,1,E,CLEAR CREEK,-0.000000000000000,
450,A0116,26.854336430000000,Inadequate,3,1,E,CLEAR CREEK,13764127426911068194369886918055393129808964996063878426300252160.000000000000000,
452,A0124,19.121900719999999,Inadequate,4,3,E,CLEAR CREEK,-0.000000000000000,
453,A0123,26.363634780000002,Inadequate,3,1,E,CLEAR CREEK,-62902889456899195967637649142957160377476722374133534176642933483119098369245743932654705487828248384552901800661899999637237509788893048140323879558341291007323264569837692004868232988168579417628820433589613104843722766251343347950721918112984243193774080.000000000000000,
456,A0120,6.647728480000000,Inadequate,3,A,E,CLEAR CREEK,-86104415896824942111949605243915320049294209042672934175574849522863480429985233139054644627122594267866742170055295893504.000000000000000,
467,A0073,44.421485980000000,Inadequate,3,1,E,CLEAR CREEK,-0.000000000000000,
470,A0090,12.427682920000001,Inadequate,1,1,E,CLEAR CREEK,0.000000000000000,
478,A0093,9.715909540000000,Inadequate,3,1,E,CLEAR CREEK,-21318770930656681518699322491458892197981086860990692404371435701659544938515055866858830029765419414275989908106603759959273935334903231889960833998659307640667174795636547987625364844766465658273267535010437935138810170753558900652643594561408451997822441615445059927149775006542564576471285760.000000000000000,
482,A0079,10.134297800000001,Inadequate,3,A,E,CLEAR CREEK,42875261968075434771436925382159884633873817078165538196413657826003507666245626118885235482521791086917973100796714321913995200764502440291976680761032267546378255394287590535572231417554178122073468479471616.000000000000000,
484,A0077,11.291324520000000,Inadequate,3,1,E,CLEAR CREEK,0.000000000000000,
486,A0076,5.655991870000000,Inadequate,0, ,E,CLEAR CREEK,-17609065367218426810160624421718705316306190840421808915020098567550950427436836650340847999243615648330573552044758316572227028836843098968274741097886588901552518887720768049236849227846816558440823249074252982057776493010124501437722554034462155424859340317853749346304.000000000000000,
490,A0083,35.392558780000002,Inadequate,1,1,E,CLEAR CREEK,1159988981504112376883381825599622742840064489975717684825539628979744430084851823828410671283822845786900957286639248037410935632081656671433400183105894221150056900598282129550493161321962254759911928355218077486612682237744320092434060583532566429509786093264864153186598912.000000000000000,
491,A0114,31.033057270000000,Inadequate,1,1,E,CLEAR CREEK,-0.000000000000000,
