OBJECTID_1,OBJECTID,OUTFALL,ACREAGE,Y2STATUS,Y5STATUS,Y2COST,Y5COST,ADDFORY5,ADDRESSES,Y2COSTPADD,NUM_STFLD,NUM_HSEFLD,GROUP_,Y2CATEGORY,FACETS,C_DISTRICT,WSHED,PCT_SNGLFA,created_us,created_da,last_edite,last_edi_1,Shape_Length,Shape_Area
1,5,G0014,73.30053655,Inadequate,Inadequate,18196,18196,0,257,71,15, ,1,1,5771,E,SAN JACINTO RIVER,0, , , , ,9507.02966368761,3192971.30170755
2,13,G0023,44.10352113,Inadequate,Inadequate,269135,269135,0,146,1843,0,0,4,3,5871,E,SAN JACINTO RIVER,0, , , , ,8614.23534280682,1921149.345834
3,18,D1425,81.19374227,Cannot Analyze, ,0,0,0,63,0,4,1,3, ,4755,G,BRAYS BAYOU,0, , , , ,17185.1250682886,3536799.32978958
4,19,D8005,140.39576994,Cannot Analyze, ,0,0,0,294,0,13,1,3,CNA,4755,G,BRAYS BAYOU,0, , , , ,12454.8736735509,6115639.70703368
5,20,W0915,183.10081824,Cannot Analyze, ,0,0,236200,634,0,14,4,3, ,4757,G,BUFFALO BAYOU,0, , , , ,23095.0439179367,7975871.44959106
6,21,W1001,22.55265145,Proposed, ,1250200,1250200,0,85,14708.2352941,3, ,2,2,4857,G,BUFFALO BAYOU,0, , , , ,6595.55971258396,982393.408191881
7,24,D0434,26.83928635,Cannot Analyze, ,0,0,0,101,0,47, ,3,CNA,5054,F,BRAYS BAYOU,0, , , , ,5789.85242987315,1169119.20830365
8,25,D8042,58.77324734,Proposed, ,1904800,1904800,0,56,34014.2857143,4, ,4,4,4855,G,BRAYS BAYOU,0, , , , ,7639.52036191546,2560162.85790138
9,27, ,396.507944,Proposed, ,1904800,1904800,0,56,34014.2857143,0,0,4,4,4855,G,BRAYS BAYOU,0, , , , ,55424.7802044216,17271887.0904435
10,30,C0603,69.05223956,Inadequate, ,815700,1162200,346500,347,2350.7204611,0,0,4,3,5150,D,SIMS BAYOU,0, , , , ,11379.2593217344,3007915.68590583
11,31,D0402,17.35044135,Cannot Analyze, ,0,0,0,66,0,10, ,3,CNA,5152,C,BRAYS BAYOU,0, , , , ,5413.85543088536,755785.180775926
12,32,G1035,49.29118963,Proposed, ,514632.4669,0,0,158,3257.1675,0,0,3,2,5872,E,SAN JACINTO RIVER,0, , , , ,6381.07722885771,2147124.2233285
13,33,G1033,55.03305899,Proposed, ,1184131.2851,0,0,51,23218.2605,0,0,4,4,5871,E,SAN JACINTO RIVER,0, , , , ,6623.46016146151,2397240.09519756
14,34,G1004,52.50511503,Proposed, ,946071.8061,0,0,126,7508.5064,0,0,4,4,5967,E,SAN JACINTO RIVER,0, , , , ,8514.9068212029,2287122.66423323
15,35,G1005,56.84288914,Proposed, ,675951.9319,0,0,48,14082.3319,0,0,4,4,5967,E,SAN JACINTO RIVER,0, , , , ,7765.12199565058,2476076.33962008
16,36,G1006,44.38432964,Proposed, ,488292.7312,0,0,34,14361.5509,0,0,4,4,5967,E,SAN JACINTO RIVER,0, , , , ,6746.09741936608,1933381.33038994
17,37,G1007,22.03398304,Proposed, ,623235.5059,0,0,22,28328.8866,0,0,4,4,5967,E,SAN JACINTO RIVER,0, , , , ,7234.9839029292,959800.199156196
18,38,G1020,18.55138823,Proposed, ,239182.7916,0,0,61,3921.0294,1, ,3,2,6068,E,SAN JACINTO RIVER,0, , , , ,3835.49898467689,808098.362189634
19,39,G1013,4.26778667,Proposed, ,170102.2635,0,0,16,10631.3915,0,0,4,4,5968,E,SAN JACINTO RIVER,0, , , , ,1961.95547178952,185904.800763394
20,40,G1016,50.77500003,Proposed, ,526384.6594,0,0,150,3509.2311,0,0,4,4,6068,E,SAN JACINTO RIVER,0, , , , ,6894.89569285974,2211758.99163186
21,41,G1018,53.94943755,Proposed, ,1025376.0203,0,0,156,6572.9232,6, ,3,2,5969,E,SAN JACINTO RIVER,0, , , , ,6725.35337879092,2350037.38726207
22,42,S1000,49.54515237,Proposed, ,949353.9419,0,0,310,3062.4321,0,0,4,4,6069,E,SAN JACINTO RIVER,0, , , , ,6260.86200516535,2158186.87774846
23,43,G1015,20.33340324,Proposed, ,589567.4118,0,0,75,7860.8988,0,0,3,2,6069,E,SAN JACINTO RIVER,0, , , , ,5828.68714374738,885723.096697924
24,44,G1014,101.71732932,Proposed, ,1409326.7017,1496066.4141,86739.7124,229,6154.2651,9,6,1,2,6068,E,SAN JACINTO RIVER,0, , , , ,9392.78811109638,4430806.75233454
25,45,A1025,11.98347166,Proposed, ,139030.2768,0,0,25,5561.2111,6,5,3,2,5651,E,CLEAR CREEK,0, , , , ,4829.99821394682,521999.949394713
26,46,A1024,65.64995663,Proposed, ,634350.243,0,0,127,4994.8838,2,13,1,2,5651,E,CLEAR CREEK,0, , , , ,12274.7619441999,2859712.15302466
27,47,A1023,35.09814029,Proposed, ,631842.4417,0,0,72,8775.5895,1, ,3,2,5651,E,CLEAR CREEK,0, , , , ,11039.9989173412,1528874.97700156
28,48,A1022,59.79339098,Proposed, ,476638.7538,495426.2501,18787.4963,109,4372.8326,5,6,3,2,5651,E,CLEAR CREEK,0, , , , ,10109.998808831,2604600.11799733
