OBJECTID_1,OUTFALL,ACREAGE,Y2STATUS,GROUP_,Y2CATEGORY,C_DISTRICT,WSHED,Shape_Length,Shape_Area
21,W1001,22.552651449999999,Proposed,2,2,G,BUFFALO BAYOU,6595.559712583957662,982393.408191881142557
25,D8042,58.773247339999998,Proposed,4,4,G,BRAYS BAYOU,7639.520361915457215,2560162.857901375740767
27, ,396.507944000000009,Proposed,4,4,G,BRAYS BAYOU,55424.780204421585950,17271887.090443469583988
32,G1035,49.291189629999998,Proposed,3,2,E,SAN JACINTO RIVER,6381.077228857714545,2147124.223328497260809
33,G1033,55.033058990000001,Proposed,4,4,E,SAN JACINTO RIVER,6623.460161461512143,2397240.095197555609047
34,G1004,52.505115029999999,Proposed,4,4,E,SAN JACINTO RIVER,8514.906821202896026,2287122.664233229588717
35,G1005,56.842889139999997,Proposed,4,4,E,SAN JACINTO RIVER,7765.121995650579265,2476076.339620082639158
36,G1006,44.384329639999997,Proposed,4,4,E,SAN JACINTO RIVER,6746.097419366082249,1933381.330389935756102
37,G1007,22.033983039999999,Proposed,4,4,E,SAN JACINTO RIVER,7234.983902929202486,959800.199156196089461
38,G1020,18.551388230000001,Proposed,3,2,E,SAN JACINTO RIVER,3835.498984676894906,808098.362189633538947
39,G1013,4.267786670000000,Proposed,4,4,E,SAN JACINTO RIVER,1961.955471789523699,185904.800763393810485
40,G1016,50.775000030000001,Proposed,4,4,E,SAN JACINTO RIVER,6894.895692859738119,2211758.991631857119501
41,G1018,53.949437549999999,Proposed,3,2,E,SAN JACINTO RIVER,6725.353378790920033,2350037.387262066360563
42,S1000,49.545152369999997,Proposed,4,4,E,SAN JACINTO RIVER,6260.862005165345181,2158186.877748463302851
43,G1015,20.333403239999999,Proposed,3,2,E,SAN JACINTO RIVER,5828.687143747380105,885723.096697924076580
44,G1014,101.717329320000005,Proposed,1,2,E,SAN JACINTO RIVER,9392.788111096377179,4430806.752334541641176
45,A1025,11.983471659999999,Proposed,3,2,E,CLEAR CREEK,4829.998213946819305,521999.949394713214133
46,A1024,65.649956630000005,Proposed,1,2,E,CLEAR CREEK,12274.761944199897698,2859712.153024656232446
