OBJECTID,Name,Label,Park_ID,Park_Acres,ShapeSTArea,ShapeSTLength
1,Unknown,Unknown,PF10041,9.02,392759.23575261,13214.4452670726
2,Unknown,Unknown,PF10101,4.32,188273.804391385,1918.62418802719
3,Unknown,Unknown,PF10978,11.81,514378.426799094,3400.2907782126
4,Unknown,Unknown,PF10979,190.58,8301689.99514316,19656.3648703034
5,Unknown,Unknown,PF11151,9.59,417735.220384196,4449.36130653549
6,Unknown,Unknown,PF4012,0.32,13735.5741180086,975.071277142582
7,Unknown,Unknown,PF4013,2.53,110351.288546277,2731.1193048832
8,Unknown,Unknown,PF4014,0.01,419.648047558129,519.740431725903
9,Unknown,Unknown,PF4028,46.02,2004671.22476015,15516.129031165
10,Unknown,Unknown,PF4029,43.58,1898440.87493331,19017.9923073487
11,Unknown,Unknown,PF4031,9.67,421080.720800787,7799.2520001201
12,Unknown,Unknown,PF4032,42.63,1857115.23545204,21024.1764866977
13,Unknown,Unknown,PF4033,41.44,1805336.43791666,16659.0256930342
14,Unknown,Unknown,PF4034,10.5,457188.227450368,3597.82450495727
15,Unknown,Unknown,PF4035,10.11,440439.593508946,3583.92047537118
16,Unknown,Unknown,PF4084,1.58,68921.2652928031,1487.68721734072
17,Unknown,Unknown,PF4103,0.18,8034.54718920508,429.187990859857
18,Unknown,Unknown,PF4118,0.09,3750.90173254959,649.952746386554
19,Unknown,Unknown,PF4119,1.43,62228.8095766111,1943.83349971933
20,Unknown,Unknown,PF4120,0.07,3115.87360661185,277.177711031809
21,Unknown,Unknown,PF4251,0.6,26144.1366616395,1012.06096251898
22,Unknown,Unknown,PF4252,1.3,56829.1937014895,1656.72127982146
23,Unknown,Unknown,PF4444,1.11,48515.6957049354,1120.60777948008
24,Unknown,Unknown,PF4452,0.26,11205.742896327,700.827989637361
25,Unknown,Unknown,PF4482,3.06,133165.76512931,2200.86316132525
26,Unknown,Unknown,PF4483,0,90.8095076757603,147.021818372512
27,Unknown,Unknown,PF4485,0.17,7525.3922133695,561.020614551254
28,Unknown,Unknown,PF4495,2.21,96339.4609987187,3058.80304715236
29,Unknown,Unknown,PF4504,0.18,7935.20571455163,443.947829532669
30,Unknown,Unknown,PF4541,4.8,209052.985036557,5960.99134006422
31,Unknown,Unknown,PF4542,4.17,181858.411861388,5791.02396623269
32,Unknown,Unknown,PF4544,2.26,98433.1465193289,2657.45846619324
33,Unknown,Unknown,PF4545,0.29,12605.0499608097,489.42766796231
34,Unknown,Unknown,PF4546,28.67,1248917.11498059,7588.60464732916
35,Unknown,Unknown,PF4550,5.56,242378.452154791,6049.46784522269
36,Unknown,Unknown,PF4556,9.24,402671.498669212,9545.84788075754
37,Unknown,Unknown,PF465,0.04,1526.24234737726,228.640980075723
38,Unknown,Unknown,PF4673,0.03,1413.48331427945,240.662518700333
39,Unknown,Unknown,PF4674,2.1,91304.901346787,1838.29858321816
40,Unknown,Unknown,PF4721,3.22,140088.933952134,3978.77130959916
41,Unknown,Unknown,PF4722,4.89,212928.41588961,3942.2566550653
42,Unknown,Unknown,PF4875,1.32,57344.6115636916,2143.20824972651
43,Unknown,Unknown,PF5029,0.03,1233.64833922443,171.163612625325
44,Unknown,Unknown,PF5134,0.16,7127.59709628772,435.052120869723
45,Unknown,Unknown,PF5439,0.19,8311.44986579446,376.475256329398
46,Unknown,Unknown,PF548,420.66,18324069.3356619,42060.1798483324
47,Unknown,Unknown,PF5895,3.47,151173.199096848,2919.11425917363
48,Unknown,Unknown,PF5896,0.59,25732.2863973642,664.196991682838
49,Unknown,Unknown,PF5916,61.72,2688516.10026349,34408.8566074004
50,Unknown,Unknown,PF5920,25.48,1109871.30532461,24236.4296511725
51,Unknown,Unknown,PF5928,44,1916692.7638989,9602.5015594741
52,Unknown,Unknown,PF5929,71.96,3134506.48737538,13797.1094477134
53,Unknown,Unknown,PF5931,43.49,1894218.31348742,8306.66977678873
54,Unknown,Unknown,PF5938,53.34,2323317.53463006,93229.1485902402
55,Unknown,Unknown,PF5944,16.18,704782.757726134,6296.34224520889
56,Unknown,Unknown,PF5952,0.64,27706.9510123049,2052.49995286611
57,Unknown,Unknown,PF5953,0.7,30495.8844244981,3062.90403282799
58,Unknown,Unknown,PF5954,0.25,10910.8915129997,665.088145136498
59,Unknown,Unknown,PF5955,4.11,179117.508932387,6952.81122435813
60,Unknown,Unknown,PF6030,14.28,622126.275316421,3485.42570098412
61,Unknown,Unknown,PF6172,18.56,808549.436281807,12298.0846797968
62,Unknown,Unknown,PF6212,11.45,498568.345868061,5821.55354396603
63,Unknown,Unknown,PF6302,8.37,364407.764307307,3297.23544257373
64,Unknown,Unknown,PF6335,0.16,7175.68938985815,724.996251114651
65,Unknown,Unknown,PF6541,6.07,264226.414845377,2916.99011393898
66,Unknown,Unknown,PF6545,40.92,1782445.23132597,6234.52229816431
67,Unknown,Unknown,PF6552,8.25,359538.083024899,2901.60660720559
68,Unknown,Unknown,PF6553,8.31,361833.587846592,2995.82246491778
69,Unknown,Unknown,PF6614,8.46,368530.723738221,18035.6706314059
70,Unknown,Unknown,PF6620,4.22,184041.366003688,1764.44249248777
71,Unknown,Unknown,PF6622,7.44,324181.507977599,6396.7226493392
72,Unknown,Unknown,PF6631,5.86,255449.932645304,3233.78097772966
73,Unknown,Unknown,PF6653,6.49,282750.480706745,4347.36514247031
74,Unknown,Unknown,PF6654,5.68,247332.703943422,10701.9233284208
75,Unknown,Unknown,PF6702,5.75,250303.732996521,3674.31297294554
76,Unknown,Unknown,PF6704,3.72,162122.155791347,5402.40713671198
77,Unknown,Unknown,PF6713,6.2,270033.359572453,2121.13611409582
78,Unknown,Unknown,PF6714,7.59,330467.726285071,4175.47849034361
79,Unknown,Unknown,PF6716,5.54,241287.292845842,8826.51749043403
80,Unknown,Unknown,PF6744,9.01,392353.703577034,4658.48187181745
81,Unknown,Unknown,PF6762,5.11,222557.559530953,8103.99857151403
82,Unknown,Unknown,PF6781,6.38,277877.497253139,6475.22384491021
83,Unknown,Unknown,PF6783,9.04,393726.351078192,5107.86240923767
84,Unknown,Unknown,PF6836,6.5,283188.443457019,3901.41944525559
85,Unknown,Unknown,PF6872,8.64,376478.713124808,2887.7266256493
86,Unknown,Unknown,PF8417,47.78,2081103.96092972,75729.876794899
87,Unknown,Unknown,PF8423,18.57,809083.798851899,31375.0400944537
88,Unknown,Unknown,PF8431,3.57,155345.082272391,6060.81848668679
89,Unknown,Unknown,PF8445,0.4,17261.311066814,790.496641577706
90,Unknown,Unknown,PF8446,0.2,8569.68490693445,442.957407300017
91,Unknown,Unknown,PF8577,31.05,1352652.89561776,7114.32319783593
92,Unknown,Unknown,PF8597,2007.82,87460774.6866103,70329.9214643388
93,Unknown,Unknown,PF8598,1777.26,77417705.9809061,37040.3603336948
94,Unknown,Unknown,PF8599,7500.11,326706214.27014,95674.7555875005
95,Unknown,Unknown,PF8600,675.84,29439782.1872971,22339.5779667825
96,Unknown,Unknown,PF8601,1626.56,70853144.0427476,37735.6209486115
97,Unknown,Unknown,PF8602,823.56,35874397.4803758,27664.5596203219
98,Unknown,Unknown,PF8603,41.91,1825528.75818326,6778.54428103984
