,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile
0,72988,T48201100001,Texas,TX,Harris,100001,6528,1.01,20,0.18,86.88
1,72989,T48201210400,Texas,TX,Harris,210400,4167,0.71,21,0.18,87.08
2,72990,T48201210500,Texas,TX,Harris,210500,5370,0.84,21,0.18,87.21
3,72991,T48201210600,Texas,TX,Harris,210600,5154,0.91,21,0.18,87.03
4,72992,T48201210700,Texas,TX,Harris,210700,2293,0.44,21,0.18,87.12
5,72993,T48201210800,Texas,TX,Harris,210800,2623,1.43,21,0.18,87.43
6,72994,T48201210900,Texas,TX,Harris,210900,1612,0.49,19,0.18,87.32
7,72995,T48201211000,Texas,TX,Harris,211000,1973,0.44,20,0.18,87.11
8,72996,T48201211101,Texas,TX,Harris,211101,3047,0.5,20,0.18,87.23
9,72997,T48201211102,Texas,TX,Harris,211102,2477,0.44,20,0.18,87.2
10,72998,T48201211200,Texas,TX,Harris,211200,2988,0.66,20,0.18,87.95
11,72999,T48201211301,Texas,TX,Harris,211301,2680,0.45,19,0.18,87.18
12,73000,T48201211302,Texas,TX,Harris,211302,2594,0.62,19,0.18,87.18
13,73001,T48201211400,Texas,TX,Harris,211400,4242,1.45,20,0.18,87.06
14,73002,T48201211501,Texas,TX,Harris,211501,3164,1.43,20,0.18,86.95
15,73003,T48201211502,Texas,TX,Harris,211502,2799,0.93,20,0.18,86.89
16,73004,T48201211600,Texas,TX,Harris,211600,2845,0.46,19,0.18,87.73
17,73005,T48201211700,Texas,TX,Harris,211700,3732,1.73,20,0.18,87.1
18,73006,T48201211900,Texas,TX,Harris,211900,4717,0.49,20,0.18,87.2
19,73007,T48201212300,Texas,TX,Harris,212300,5027,1.29,20,0.18,87.1
20,73008,T48201212400,Texas,TX,Harris,212400,2947,3.18,20,0.18,86.91
21,73009,T48201212500,Texas,TX,Harris,212500,3792,4.45,20,0.18,87.19
22,73010,T48201220100,Texas,TX,Harris,220100,2052,0.69,20,0.18,87.04
23,73011,T48201220200,Texas,TX,Harris,220200,2625,0.58,20,0.18,87.07
24,73012,T48201220300,Texas,TX,Harris,220300,3972,0.78,18,0.18,87.94
25,73013,T48201220400,Texas,TX,Harris,220400,4659,0.75,18,0.18,87.96
26,73014,T48201220500,Texas,TX,Harris,220500,4470,0.94,18,0.18,87.33
27,73015,T48201220600,Texas,TX,Harris,220600,3722,0.65,18,0.18,87.88
