,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Riverine Flooding - Number of Events,Riverine Flooding - Annualized Frequency,Riverine Flooding - Expected Annual Loss Rate - National Percentile
0,72988,T48201100001,Texas,TX,Harris,100001,6528,1.01,126,5.25,65.34
1,72989,T48201210400,Texas,TX,Harris,210400,4167,0.71,126,5.25,90.71
2,72990,T48201210500,Texas,TX,Harris,210500,5370,0.84,126,5.25,76.96
3,72991,T48201210600,Texas,TX,Harris,210600,5154,0.91,126,5.25,48.47
4,72992,T48201210700,Texas,TX,Harris,210700,2293,0.44,126,0,0
5,72993,T48201210800,Texas,TX,Harris,210800,2623,1.43,126,5.25,95.96
6,72994,T48201210900,Texas,TX,Harris,210900,1612,0.49,126,5.25,99.86
7,72995,T48201211000,Texas,TX,Harris,211000,1973,0.44,126,5.25,99.83
8,72996,T48201211101,Texas,TX,Harris,211101,3047,0.5,126,5.25,94.87
9,72997,T48201211102,Texas,TX,Harris,211102,2477,0.44,126,5.25,32.21
10,72998,T48201211200,Texas,TX,Harris,211200,2988,0.66,126,5.25,99.72
11,72999,T48201211301,Texas,TX,Harris,211301,2680,0.45,126,0,0
12,73000,T48201211302,Texas,TX,Harris,211302,2594,0.62,126,0,0
13,73001,T48201211400,Texas,TX,Harris,211400,4242,1.45,126,5.25,73.39
14,73002,T48201211501,Texas,TX,Harris,211501,3164,1.43,126,0,0
15,73003,T48201211502,Texas,TX,Harris,211502,2799,0.93,126,0,0
16,73004,T48201211600,Texas,TX,Harris,211600,2845,0.46,126,0,0
17,73005,T48201211700,Texas,TX,Harris,211700,3732,1.73,126,5.25,99.9
18,73006,T48201211900,Texas,TX,Harris,211900,4717,0.49,126,0,0
19,73007,T48201212300,Texas,TX,Harris,212300,5027,1.29,126,5.25,91.02
20,73008,T48201212400,Texas,TX,Harris,212400,2947,3.18,126,5.25,98.7
21,73009,T48201212500,Texas,TX,Harris,212500,3792,4.45,126,5.25,92.51
22,73010,T48201220100,Texas,TX,Harris,220100,2052,0.69,126,0,0
23,73011,T48201220200,Texas,TX,Harris,220200,2625,0.58,126,5.25,95.71
24,73012,T48201220300,Texas,TX,Harris,220300,3972,0.78,126,0,0
25,73013,T48201220400,Texas,TX,Harris,220400,4659,0.75,126,0,0
26,73014,T48201220500,Texas,TX,Harris,220500,4470,0.94,126,5.25,96.92
27,73015,T48201220600,Texas,TX,Harris,220600,3722,0.65,126,0,0
28,73016,T48201220701,Texas,TX,Harris,220701,3241,0.8,126,0,0
29,73017,T48201220702,Texas,TX,Harris,220702,3165,0.81,126,0,0
30,73018,T48201220800,Texas,TX,Harris,220800,3198,0.68,126,0,0
31,73019,T48201220900,Texas,TX,Harris,220900,1907,0.58,126,5.25,98.31
32,73020,T48201221000,Texas,TX,Harris,221000,4288,0.97,126,5.25,99.33
33,73021,T48201221100,Texas,TX,Harris,221100,3718,1.19,126,0,0
34,73022,T48201221200,Texas,TX,Harris,221200,6124,0.98,126,0,0
35,73023,T48201221301,Texas,TX,Harris,221301,4486,0.73,126,0,0
36,73024,T48201221302,Texas,TX,Harris,221302,3678,0.61,126,0,0
37,73025,T48201221400,Texas,TX,Harris,221400,5902,0.79,126,0,0
38,73026,T48201221501,Texas,TX,Harris,221501,4941,0.68,126,0,0
39,73027,T48201221502,Texas,TX,Harris,221502,2859,0.2,126,0,0
40,73028,T48201221601,Texas,TX,Harris,221601,3313,0.46,126,5.25,99.68
41,73029,T48201221602,Texas,TX,Harris,221602,5886,1.79,126,5.25,91.54
42,73030,T48201221701,Texas,TX,Harris,221701,4086,1.13,126,5.25,99.19
43,73031,T48201221702,Texas,TX,Harris,221702,3574,0.95,126,5.25,99.87
44,73032,T48201221800,Texas,TX,Harris,221800,4371,1.23,126,5.25,99
45,73033,T48201221900,Texas,TX,Harris,221900,4684,1.04,126,5.25,99.55
46,73034,T48201222000,Texas,TX,Harris,222000,2290,0.44,126,5.25,99.88
47,73035,T48201222100,Texas,TX,Harris,222100,5487,0.89,126,5.25,99.68
48,73036,T48201222200,Texas,TX,Harris,222200,3812,1.17,126,0,0
49,73037,T48201222300,Texas,TX,Harris,222300,4790,1.95,126,5.25,98.65
50,73038,T48201222401,Texas,TX,Harris,222401,3777,1.98,126,5.25,99.73
51,73039,T48201222402,Texas,TX,Harris,222402,5758,1.59,126,5.25,99.11
52,73040,T48201222501,Texas,TX,Harris,222501,3620,0.35,126,0,0
53,73041,T48201222502,Texas,TX,Harris,222502,4395,1.32,126,5.25,99.38
54,73042,T48201222504,Texas,TX,Harris,222504,3345,0.11,126,0,0
55,73043,T48201222505,Texas,TX,Harris,222505,2986,0.55,126,5.25,96.28
56,73044,T48201222601,Texas,TX,Harris,222601,2322,0.53,126,5.25,99.06
57,73045,T48201222602,Texas,TX,Harris,222602,2694,0.49,126,0,0
58,73046,T48201222701,Texas,TX,Harris,222701,2360,0.42,126,5.25,51.69
59,73047,T48201222702,Texas,TX,Harris,222702,3517,2.35,126,5.25,99.55
60,73048,T48201222800,Texas,TX,Harris,222800,3320,2.65,126,5.25,99
61,73049,T48201222900,Texas,TX,Harris,222900,8030,2.27,126,5.25,99.12
62,73050,T48201223001,Texas,TX,Harris,223001,3885,1.22,126,5.25,96.95
63,73051,T48201223002,Texas,TX,Harris,223002,4004,0.29,126,0,0
64,73052,T48201223100,Texas,TX,Harris,223100,2233,1.87,126,5.25,99.24
65,73053,T48201230100,Texas,TX,Harris,230100,1824,0.53,126,5.25,99.81
66,73054,T48201230200,Texas,TX,Harris,230200,5363,3.04,126,5.25,99.52
67,73055,T48201230300,Texas,TX,Harris,230300,2298,0.68,126,0,0
68,73056,T48201230400,Texas,TX,Harris,230400,3824,1.12,126,0,0
69,73057,T48201230500,Texas,TX,Harris,230500,4099,1.35,126,5.25,98.34
70,73058,T48201230600,Texas,TX,Harris,230600,2690,0.84,126,0,0
71,73059,T48201230700,Texas,TX,Harris,230700,2963,1.05,126,5.25,96.76
72,73060,T48201230800,Texas,TX,Harris,230800,2662,0.72,126,0,0
73,73061,T48201230900,Texas,TX,Harris,230900,4947,2.48,126,5.25,94.66
74,73062,T48201231000,Texas,TX,Harris,231000,4727,1.61,126,5.25,83.74
75,73063,T48201231100,Texas,TX,Harris,231100,4920,4.36,126,5.25,79.34
76,73064,T48201231200,Texas,TX,Harris,231200,6800,5.45,126,5.25,96.47
77,73065,T48201231300,Texas,TX,Harris,231300,4796,1.88,126,5.25,98.65
78,73066,T48201231400,Texas,TX,Harris,231400,3347,1.31,126,5.25,78.33
79,73067,T48201231500,Texas,TX,Harris,231500,2858,0.45,126,5.25,80.29
80,73068,T48201231600,Texas,TX,Harris,231600,2915,0.65,126,5.25,96.94
81,73069,T48201231700,Texas,TX,Harris,231700,4509,1.65,126,5.25,99.65
82,73070,T48201231800,Texas,TX,Harris,231800,3042,1.1,126,0,0
83,73071,T48201231900,Texas,TX,Harris,231900,6633,3.53,126,5.25,97.91
84,73072,T48201232000,Texas,TX,Harris,232000,4371,6.42,126,5.25,97.47
85,73073,T48201232100,Texas,TX,Harris,232100,3803,1.26,126,5.25,98.75
86,73074,T48201232201,Texas,TX,Harris,232201,5754,1.74,126,5.25,97.66
87,73075,T48201232202,Texas,TX,Harris,232202,5698,2.19,126,5.25,98.4
88,73076,T48201232203,Texas,TX,Harris,232203,5924,3.88,126,5.25,95.18
89,73077,T48201232303,Texas,TX,Harris,232303,6451,5.16,126,5.25,93.1
90,73078,T48201232304,Texas,TX,Harris,232304,7763,4.81,126,5.25,89.98
91,73079,T48201232305,Texas,TX,Harris,232305,10954,2.86,126,5.25,0
92,73080,T48201232306,Texas,TX,Harris,232306,3644,1.66,126,5.25,40.36
93,73081,T48201232402,Texas,TX,Harris,232402,3820,0.55,126,5.25,70.53
94,73082,T48201232403,Texas,TX,Harris,232403,4575,0.79,126,5.25,72.62
95,73083,T48201232404,Texas,TX,Harris,232404,3652,1.47,126,5.25,98.56
96,73084,T48201232405,Texas,TX,Harris,232405,5832,4.19,126,5.25,82.58
97,73085,T48201232500,Texas,TX,Harris,232500,3157,4.5,126,5.25,97.83
98,73086,T48201232600,Texas,TX,Harris,232600,2892,2.39,126,5.25,99.69
99,73087,T48201232701,Texas,TX,Harris,232701,7066,1.82,126,5.25,95.33
100,73088,T48201232703,Texas,TX,Harris,232703,2740,0.26,126,5.25,98.28
101,73089,T48201232704,Texas,TX,Harris,232704,2009,1.5,126,5.25,97.79
102,73090,T48201232801,Texas,TX,Harris,232801,2621,0.36,126,5.25,93.65
103,73091,T48201232802,Texas,TX,Harris,232802,2715,0.44,126,5.25,96.26
104,73092,T48201232901,Texas,TX,Harris,232901,3992,0.95,126,5.25,94.37
105,73093,T48201232902,Texas,TX,Harris,232902,4380,0.34,126,0,0
106,73094,T48201233001,Texas,TX,Harris,233001,4163,0.37,126,0,0
107,73095,T48201233002,Texas,TX,Harris,233002,4040,0.67,126,0,0
108,73096,T48201233003,Texas,TX,Harris,233003,2470,0.4,126,0,0
109,73097,T48201233101,Texas,TX,Harris,233101,4640,0.67,126,0,0
110,73098,T48201233103,Texas,TX,Harris,233103,5475,0.64,126,5.25,53.86
111,73099,T48201233104,Texas,TX,Harris,233104,3110,0.31,126,0,0
112,73100,T48201233105,Texas,TX,Harris,233105,3734,0.64,126,5.25,83.97
113,73101,T48201233200,Texas,TX,Harris,233200,6461,1.24,126,5.25,98.81
114,73102,T48201233300,Texas,TX,Harris,233300,4468,4.68,126,5.25,99.05
115,73103,T48201233400,Texas,TX,Harris,233400,2566,1.02,126,5.25,77.57
116,73104,T48201233501,Texas,TX,Harris,233501,3702,0.56,126,5.25,72.3
117,73105,T48201233502,Texas,TX,Harris,233502,3346,0.54,126,5.25,68.35
118,73106,T48201233600,Texas,TX,Harris,233600,2424,1.54,126,0,0
119,73107,T48201233701,Texas,TX,Harris,233701,5171,2.89,126,5.25,97.84
