,FIELD,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
0,All Sky Surface Albedo (dimensionless),29.5,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
1,All Sky Surface Longwave Downward Irradiance (W/m^2),29.5,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
2,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.5,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
3,All Sky Surface PAR Total (W/m^2),29.5,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
4,All Sky Surface Albedo (dimensionless),29.57,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
5,All Sky Surface Longwave Downward Irradiance (W/m^2),29.57,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
6,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.57,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
7,All Sky Surface PAR Total (W/m^2),29.57,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
8,All Sky Surface Albedo (dimensionless),29.64,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
9,All Sky Surface Longwave Downward Irradiance (W/m^2),29.64,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
10,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.64,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
11,All Sky Surface PAR Total (W/m^2),29.64,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
12,All Sky Surface Albedo (dimensionless),29.71,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
13,All Sky Surface Longwave Downward Irradiance (W/m^2),29.71,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
14,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.71,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
15,All Sky Surface PAR Total (W/m^2),29.71,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
16,All Sky Surface Albedo (dimensionless),29.78,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
17,All Sky Surface Longwave Downward Irradiance (W/m^2),29.78,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
18,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.78,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
19,All Sky Surface PAR Total (W/m^2),29.78,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
20,All Sky Surface Albedo (dimensionless),29.85,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
21,All Sky Surface Longwave Downward Irradiance (W/m^2),29.85,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
22,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.85,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
23,All Sky Surface PAR Total (W/m^2),29.85,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
24,All Sky Surface Albedo (dimensionless),29.92,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
25,All Sky Surface Longwave Downward Irradiance (W/m^2),29.92,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
26,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.92,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
27,All Sky Surface PAR Total (W/m^2),29.92,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
28,All Sky Surface Albedo (dimensionless),29.99,-95.0,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
29,All Sky Surface Longwave Downward Irradiance (W/m^2),29.99,-95.0,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
30,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.99,-95.0,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
31,All Sky Surface PAR Total (W/m^2),29.99,-95.0,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
32,All Sky Surface Albedo (dimensionless),30.06,-95.0,0.11,0.11,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12
33,All Sky Surface Longwave Downward Irradiance (W/m^2),30.06,-95.0,308.96,331.39,346.4,363.94,389.93,412.13,418.29,420.28,403.67,365.74,334.17,327.92,368.73
34,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),30.06,-95.0,2.98,3.15,4.41,5.23,5.81,6.21,6.25,5.76,5.14,4.38,3.32,2.5,4.6
35,All Sky Surface PAR Total (W/m^2),30.06,-95.0,54.47,59.36,83.44,100.02,113.17,122.75,124.01,114.04,100.08,83.26,61.96,46.31,88.71
36,All Sky Surface Albedo (dimensionless),29.5,-95.07,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
37,All Sky Surface Longwave Downward Irradiance (W/m^2),29.5,-95.07,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
38,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.5,-95.07,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
39,All Sky Surface PAR Total (W/m^2),29.5,-95.07,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
40,All Sky Surface Albedo (dimensionless),29.57,-95.07,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
41,All Sky Surface Longwave Downward Irradiance (W/m^2),29.57,-95.07,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
42,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.57,-95.07,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
43,All Sky Surface PAR Total (W/m^2),29.57,-95.07,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
44,All Sky Surface Albedo (dimensionless),29.64,-95.07,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
45,All Sky Surface Longwave Downward Irradiance (W/m^2),29.64,-95.07,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
46,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.64,-95.07,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
47,All Sky Surface PAR Total (W/m^2),29.64,-95.07,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
48,All Sky Surface Albedo (dimensionless),29.71,-95.07,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
49,All Sky Surface Longwave Downward Irradiance (W/m^2),29.71,-95.07,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
50,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.71,-95.07,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
51,All Sky Surface PAR Total (W/m^2),29.71,-95.07,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
52,All Sky Surface Albedo (dimensionless),29.78,-95.07,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
53,All Sky Surface Longwave Downward Irradiance (W/m^2),29.78,-95.07,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
54,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.78,-95.07,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
55,All Sky Surface PAR Total (W/m^2),29.78,-95.07,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
56,All Sky Surface Albedo (dimensionless),29.85,-95.07,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
57,All Sky Surface Longwave Downward Irradiance (W/m^2),29.85,-95.07,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
