,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Drought - Number of Events,Drought - Annualized Frequency,Drought - Expected Annual Loss Rate - National Percentile,Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Annualized Frequency,Riverine Flooding - Expected Annual Loss Rate - National Percentile
0,72988.0,T48201100001,Texas,TX,Harris,100001.0,6528.0,1.01,,3.76,79.14,273.0,12.41,0.0,2.0,0.12,51.82,20.0,0.18,86.88,126.0,5.25,65.34
1,72989.0,T48201210400,Texas,TX,Harris,210400.0,4167.0,0.71,,0.01,76.33,273.0,12.41,0.0,2.0,0.12,51.6,21.0,0.18,87.08,126.0,5.25,90.71
2,72990.0,T48201210500,Texas,TX,Harris,210500.0,5370.0,0.84,,0.01,73.09,273.0,12.41,0.0,2.0,0.12,51.73,21.0,0.18,87.21,126.0,5.25,76.96
3,72991.0,T48201210600,Texas,TX,Harris,210600.0,5154.0,0.91,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.52,21.0,0.18,87.03,126.0,5.25,48.47
4,72992.0,T48201210700,Texas,TX,Harris,210700.0,2293.0,0.44,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.94,21.0,0.18,87.12,126.0,0.0,0.0
5,72993.0,T48201210800,Texas,TX,Harris,210800.0,2623.0,1.43,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.06,21.0,0.18,87.43,126.0,5.25,95.96
6,72994.0,T48201210900,Texas,TX,Harris,210900.0,1612.0,0.49,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.75,19.0,0.18,87.32,126.0,5.25,99.86
7,72995.0,T48201211000,Texas,TX,Harris,211000.0,1973.0,0.44,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.7,20.0,0.18,87.11,126.0,5.25,99.83
8,72996.0,T48201211101,Texas,TX,Harris,211101.0,3047.0,0.5,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.65,20.0,0.18,87.23,126.0,5.25,94.87
9,72997.0,T48201211102,Texas,TX,Harris,211102.0,2477.0,0.44,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.54,20.0,0.18,87.2,126.0,5.25,32.21
10,72998.0,T48201211200,Texas,TX,Harris,211200.0,2988.0,0.66,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.54,20.0,0.18,87.95,126.0,5.25,99.72
11,72999.0,T48201211301,Texas,TX,Harris,211301.0,2680.0,0.45,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.77,19.0,0.18,87.18,126.0,0.0,0.0
12,73000.0,T48201211302,Texas,TX,Harris,211302.0,2594.0,0.62,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.64,19.0,0.18,87.18,126.0,0.0,0.0
13,73001.0,T48201211400,Texas,TX,Harris,211400.0,4242.0,1.45,,3.76,76.61,273.0,12.41,0.0,2.0,0.12,51.58,20.0,0.18,87.06,126.0,5.25,73.39
14,73002.0,T48201211501,Texas,TX,Harris,211501.0,3164.0,1.43,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.82,20.0,0.18,86.95,126.0,0.0,0.0
15,73003.0,T48201211502,Texas,TX,Harris,211502.0,2799.0,0.93,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.68,20.0,0.18,86.89,126.0,0.0,0.0
16,73004.0,T48201211600,Texas,TX,Harris,211600.0,2845.0,0.46,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.58,19.0,0.18,87.73,126.0,0.0,0.0
17,73005.0,T48201211700,Texas,TX,Harris,211700.0,3732.0,1.73,,0.01,79.39,266.0,12.09,0.0,2.0,0.12,51.79,20.0,0.18,87.1,126.0,5.25,99.9
18,73006.0,T48201211900,Texas,TX,Harris,211900.0,4717.0,0.49,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.5,20.0,0.18,87.2,126.0,0.0,0.0
19,73007.0,T48201212300,Texas,TX,Harris,212300.0,5027.0,1.29,,0.01,76.14,273.0,12.41,0.0,2.0,0.12,51.66,20.0,0.18,87.1,126.0,5.25,91.02
20,73008.0,T48201212400,Texas,TX,Harris,212400.0,2947.0,3.18,,0.01,80.68,266.0,12.09,0.0,2.0,0.12,51.78,20.0,0.18,86.91,126.0,5.25,98.7
21,73009.0,T48201212500,Texas,TX,Harris,212500.0,3792.0,4.45,,3.76,79.94,266.0,12.09,0.0,2.0,0.12,52.05,20.0,0.18,87.19,126.0,5.25,92.51
22,73010.0,T48201220100,Texas,TX,Harris,220100.0,2052.0,0.69,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.84,20.0,0.18,87.04,126.0,0.0,0.0
23,73011.0,T48201220200,Texas,TX,Harris,220200.0,2625.0,0.58,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.53,20.0,0.18,87.07,126.0,5.25,95.71
24,73012.0,T48201220300,Texas,TX,Harris,220300.0,3972.0,0.78,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,51.95,18.0,0.18,87.94,126.0,0.0,0.0
25,73013.0,T48201220400,Texas,TX,Harris,220400.0,4659.0,0.75,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,53.01,18.0,0.18,87.96,126.0,0.0,0.0
26,73014.0,T48201220500,Texas,TX,Harris,220500.0,4470.0,0.94,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.09,18.0,0.18,87.33,126.0,5.25,96.92
27,73015.0,T48201220600,Texas,TX,Harris,220600.0,3722.0,0.65,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.18,18.0,0.18,87.88,126.0,0.0,0.0
28,73016.0,T48201220701,Texas,TX,Harris,220701.0,3241.0,0.8,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.17,19.0,0.18,87.61,126.0,0.0,0.0
29,73017.0,T48201220702,Texas,TX,Harris,220702.0,3165.0,0.81,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.55,19.0,0.18,87.29,126.0,0.0,0.0
30,73018.0,T48201220800,Texas,TX,Harris,220800.0,3198.0,0.68,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.87,18.0,0.18,87.26,126.0,0.0,0.0
31,73019.0,T48201220900,Texas,TX,Harris,220900.0,1907.0,0.58,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.46,18.0,0.18,87.21,126.0,5.25,98.31
32,73020.0,T48201221000,Texas,TX,Harris,221000.0,4288.0,0.97,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.96,19.0,0.18,87.92,126.0,5.25,99.33
33,73021.0,T48201221100,Texas,TX,Harris,221100.0,3718.0,1.19,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.94,19.0,0.18,87.46,126.0,0.0,0.0
34,73022.0,T48201221200,Texas,TX,Harris,221200.0,6124.0,0.98,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.19,18.0,0.18,88.06,126.0,0.0,0.0
